"","rank","channel","subs"
"1","Rank","Channel","M Subs"
"2","1 ","T-Series","236"
"3","2 ","Cocomelon","154"
"4","3 ","Sony Entertainment Television India","152"
"5","4 ","MrBeast","134"
"6","5 ","PewDiePie","111"
"7","6 ","Kids Diana Show","108"
"8","7 ","Like Nastya","104"
"9","8 ","Vlad and Niki","93.7"
"10","9 ","WWE","93.5"
"11","10 ","Zee Music Company","92.7"
"12","Rank","Channel","M Subs"
"13","11 ","Blackpink","84.4"
"14","12 ","Goldmines","82.6"
"15","13 ","5-Minute Crafts","78.9"
"16","14 ","Sony SAB","77.4"
"17","15 ","BangtanTV","73.6"
"18","16 ","Justin Bieber","71"
"19","17 ","Hybe Labels","69.3"
"20","18 ","Canal KondZilla","66.4"
"21","19 ","Zee TV","65.8"
"22","20 ","Pinkfong","65.6"
"23","21 ","Shemaroo Entertainment","63.9"
"24","22 ","ChuChu TV","61.8"
"25","23 ","Colors TV","60.1"
"26","24 ","Dude Perfect","58.9"
"27","25 ","Movieclips","58.7"
"28","26 ","T-Series Bhakti Sagar","58"
"29","27 ","Tips Industries","56.9"
"30","28 ","Marshmello","56.3"
"31","29 ","Wave Music","56.1"
"32","30 ","Sony Music India","55.9"
"33","31 ","Aaj Tak","55.6"
"34","33 ","El Reino Infantil","55.6"
"35","32 ","Eminem","55.4"
"36","34 ","Ed Sheeran","53"
"37","35 ","LooLoo Kids","52.9"
"38","36 ","Ariana Grande","52.3"
"39","37 ","Yash Raj Films","52.1"
"40","38 ","Taylor Swift","51"
"41","39 ","BillionSurpriseToys","50.4"
"42","40 ","Infobells","49.1"
"43","41 ","Billie Eilish","47.4"
"44","42 ","JuegaGerman","47.3"
"45","43 ","Badabun","46.4"
"46","44 ","Fernanfloo","45.6"
"47","45 ","Bad Bunny","45.3"
"48","46 ","SonyMusicIndiaVEVO","45.2"
"49","47 ","Felipe Neto","44.9"
"50","48 ","Get Movies","44.7"
"51","49 ","Shemaroo","44.7"
"52","50 ","Bright Side","44.4"
